name	freq
egipto	11
ruso	11
avión	10
rusia	6
san	6
sharm	6
sheij	6
aparato	5
dirigía	5
pasajeros	5
petersburgo	5
sinaí	5
turística	5
asegura	4
moscú	4
siniestrado	4
atentado	3
ciudad	3
dependencia	3
fallecido	3
gas	3
rusos	3
accidente	2
aclaren	2
aérea	2
air	2
aire	2
asad	2
autoridades	2
báltico	2
cadáveres	2
causas	2
coalición	2
cuadrados	2
deciden	2
derribado	2
desperdigaron	2
eeuu	2
egipcio	2
evitar	2
fragmentos	2
france	2
grupo	2
guerra	2
kilómetros	2
localidad	2
lufthansa	2
mar	2
ministro	2
polonia	2
