name	freq
argentina	22
elecciones	16
primarias	15
hoy	9
aires	7
buenos	7
fernández	6
kirchner	6
argentino	5
campaña	5
candidatos	5
gobierno	5
octubre	5
presidencia	5
scioli	5
comicios	4
domingo	4
dos	4
electoral	4
frente	4
kirchnerismo	4
lluvias	4
paso	4
poder	4
provincia	4
tras	4
abiertas	3
años	3
candidato	3
cara	3
cristina	3
denuncia	3
evacuadas	3
horas	3
macri	3
mauricio	3
mesas	3
personas	3
presidencial	3
rivales	3
votación	3
agrupación	2
agua	2
ambiciones	2
amenaza	2
amia	2
argentinos	2
aspirantes	2
atentado	2
avalar	2
