name	freq
bruselas	18
cumbre	10
grecia	8
acuerdo	5
europea	5
fmi	4
celac	3
comisión	3
comunidad	3
conversaciones	3
equipo	3
europeo	3
fin	3
gobierno	3
griego	3
instituciones	3
latinoamericanos	3
marco	3
mes	3
países	3
tres	3
tsipras	3
unión	3
acreedoras	2
alexis	2
américa	2
angela	2
argentina	2
atenas	2
banco	2
bce	2
bélgica	2
caribeños	2
celacue	2
central	2
cerrar	2
colombia	2
cuba	2
deben	2
delegación	2
díazcanel	2
emergencia	2
encabeza	2
esperan	2
europa	2
europeos	2
eurozona	2
farc	2
frente	2
hablará	2
