name	freq
chile	12
capital	6
ambiental	4
chilenos	4
aire	3
bolivia	3
calidad	3
chilena	3
hoy	3
internacional	3
julio	3
mala	3
manifestación	3
potosí	3
protesta	3
región	3
rojas	3
aborto	2
alameda	2
año	2
apoyo	2
artistas	2
autoridades	2
avenida	2
bernardo	2
brasil	2
cargo	2
carmen	2
carrera	2
céntrica	2
cercano	2
conocidos	2
corte	2
culminó	2
debido	2
decimosexta	2
decretaron	2
docente	2
docentes	2
emergencia	2
espectáculo	2
expresidente	2
favor	2
forma	2
habitantes	2
higgins	2
italia	2
libre	2
locales	2
lugar	2
