name	freq
refugiados	32
alemania	27
crisis	13
merkel	11
europa	10
migratoria	10
asilo	9
austria	9
hungría	9
hoy	8
europea	7
gobierno	7
unión	7
alemán	6
alemana	6
año	6
país	6
países	6
berlín	5
cuotas	5
hacia	5
llegada	5
ministro	5
miles	4
policía	4
prepara	4
baviera	3
china	3
defiende	3
después	3
entrada	3
espera	3
finanzas	3
incluye	3
inmigrantes	3
internacional	3
llegaron	3
mayor	3
mayoría	3
menos	3
migrantes	3
parís	3
personas	3
plan	3
política	3
presidente	3
primer	3
rajoy	3
respuesta	3
seguir	3
