name	freq
avión	12
egipto	11
ruso	10
tras	8
atentado	7
inaceptable	7
rusia	7
islámico	6
lugar	5
parís	5
condiciones	4
egipcio	4
llamado	4
lucha	4
matanza	4
moscú	4
personificados	4
poner	4
previas	4
primer	4
subrayó	4
terroristas	4
unirse	4
assad	3
ataques	3
atentados	3
bomba	3
considera	3
octubre	3
pedir	3
salida	3
sinaí	3
últimos	3
acnur	2
caída	2
coordinación	2
derribado	2
después	2
estrecha	2
invierno	2
martes	2
medio	2
oriente	2
países	2
presidente	2
putin	2
refugiados	2
secretos	2
seguridad	2
señaló	2
