name	freq
españa	10
español	9
ministro	8
años	6
madrid	6
comisión	4
electoral	4
europea	4
gobierno	4
grecia	4
hace	4
acuerdo	3
aguirre	3
año	3
cataluña	3
comicios	3
concejal	3
cristina	3
eurogrupo	3
felipe	3
meses	3
millones	3
partido	3
política	3
presidente	3
rajoy	3
renuncia	3
tras	3
apoyo	2
aspirante	2
avales	2
barcelona	2
cambios	2
can	2
canciller	2
candidato	2
cargo	2
carlos	2
catalanes	2
consiguió	2
consolida	2
contó	2
convertirse	2
debe	2
día	2
dijo	2
diputado	2
dirección	2
encima	2
europeo	2
