name	freq
francia	12
parís	11
francés	7
refugiados	6
hollande	5
inmigrantes	5
manifestantes	5
europea	4
incluye	4
plan	4
presidente	4
alemania	3
calais	3
crisis	3
cuyo	3
francesa	3
indicó	3
julio	3
ministro	3
murió	3
países	3
popularidad	3
reunión	3
ahogado	2
ala	2
arrastrado	2
aseguró	2
asilo	2
aylan	2
berlín	2
caída	2
calles	2
climático	2
comisión	2
comunicado	2
costas	2
españa	2
familia	2
fiscalía	2
frente	2
fuerte	2
gobierno	2
gran	2
huir	2
imágenes	2
intentar	2
islámico	2
justicia	2
kobane	2
levantará	2
