name	freq
irak	18
ramadi	16
yihadistas	10
islámico	9
siria	9
iraquí	8
fuerzas	7
coalición	6
grupo	6
anbar	5
ciudad	5
gobierno	5
iraquíes	5
bagdad	4
combatientes	4
control	4
ejército	4
internacional	4
kilómetros	4
oeste	4
país	4
palmira	4
provincia	4
shiíes	4
unidos	4
aérea	3
autoridades	3
campaña	3
capital	3
hacia	3
liberar	3
milicias	3
militares	3
ministro	3
zona	3
zonas	3
abadi	2
armas	2
bombardeos	2
célula	2
clave	2
consolida	2
contraofensiva	2
eeuu	2
encuentra	2
expulsar	2
extremista	2
haidar	2
iniciada	2
junio	2
