name	freq
nepal	17
helicóptero	10
terremoto	9
personas	8
katmandú	5
muertos	5
dos	4
estadounidense	4
ayuda	3
dolakha	3
eeuu	3
ejército	3
magnitud	3
martes	3
nepalíes	3
país	3
sismo	3
víctimas	3
aparatos	2
avión	2
bordo	2
buscan	2
cifra	2
cuatro	2
debido	2
decenas	2
desaparecidas	2
desapareció	2
días	2
distrito	2
equipos	2
estadounidenses	2
fuerte	2
grados	2
gran	2
heridos	2
himalaya	2
huey	2
impide	2
mañana	2
marina	2
mayoría	2
miles	2
nuevo	2
ocho	2
repartía	2
réplica	2
rescate	2
restos	2
segundo	2
