name	freq
colons	9
israël	7
juifs	6
palestinien	6
bébé	5
meurtre	4
occupés	4
tension	4
territoires	4
contre	3
israéliens	3
ministre	3
obama	3
ordonné	3
après	2
bâtis	2
beitel	2
bénéficient	2
cisjordanie	2
colonie	2
construction	2
dénoncent	2
destruction	2
dont	2
extrémistes	2
fours	2
foyer	2
huckabee	2
illégaux	2
immeubles	2
impunité	2
indigne	2
israélien	2
israélienne	2
justice	2
logements	2
lors	2
mike	2
militaires	2
netanyahu	2
nombreuses	2
nouveaux	2
ong	2
portes	2
premier	2
promet	2
ravivé	2
tensions	2
terroriste	2
vive	2
