name	freq
accord	49
corée	44
nord	38
sud	36
pays	35
président	34
kiir	31
deux	30
guerre	28
paix	28
forces	27
pyongyang	27
après	25
signé	25
plus	22
fin	21
etatsunis	20
millions	20
personnes	20
nucléaire	19
entre	18
jours	18
rebelles	18
conflit	17
machar	17
salva	17
hier	16
soudan	16
août	15
avoir	15
depuis	15
frontière	15
juillet	15
armée	14
cessezfeu	14
etat	14
fait	14
moins	14
riek	14
séoul	14
autres	13
chine	12
comme	12
déclaré	12
être	12
programme	12
sécurité	12
aiea	11
décembre	11
indiqué	11
