name	freq
pays	38
droite	34
france	30
politique	28
accord	27
plus	27
front	26
comme	23
français	23
gauche	23
national	19
maroc	17
deux	16
fait	16
président	16
tour	16
après	15
contre	15
premier	15
paris	14
ainsi	13
bien	13
électeurs	13
être	13
faire	13
hier	13
parti	12
climat	11
corse	11
droits	11
politiques	11
tout	11
décembre	10
depuis	10
dont	10
nouveau	10
pen	10
région	10
tous	10
aussi	9
autres	9
climatique	9
conférence	9
élections	9
etat	9
extrême	9
marine	9
ministre	9
polisario	9
républicains	9
