name	freq
grèce	42
après	30
grec	24
direct	22
non	22
crise	17
euro	17
zone	17
maintenant	16
référendum	16
européen	15
grecque	13
victoire	13
jour	12
ministre	12
bruxelles	11
celui	11
éclatante	11
eurogroupe	11
financières	11
incertitudes	11
obtenant	11
pays	11
plan	11
politiques	11
tractations	11
mardi	10
voix	10
europe	9
finances	9
jours	9
réunion	9
sommet	9
tsipras	9
créanciers	8
deux	8
parlement	8
athènes	7
besogne	7
extraordinaire	7
fièvre	7
plus	7
propositions	7
réunissent	7
banques	6
dimanche	6
réformes	6
ambiance	5
être	5
euclide	5
