name	freq
atlaoui	31
serge	26
indonésie	25
mort	17
condamné	12
français	12
drogue	10
recours	10
trafic	10
ordre	8
rejeté	8
ultime	8
donné	7
hollande	7
avoir	6
cour	6
suprême	6
dix	5
exécution	5
exécutions	5
françois	5
préparer	5
ans	4
appel	4
condamnés	4
demandait	4
dont	4
fabius	4
gouvernement	4
indonésien	4
lance	4
procès	4
révision	4
annoncé	3
aprèsmidilaurent	3
début	3
espoir	3
jeudi	3
appris	2
avocat	2
ban	2
déclaré	2
dommageable	2
effondré	2
épouse	2
exécuter	2
famille	2
france	2
implore	2
journalistes	2
