name	freq
kenya	24
garissa	14
université	13
après	11
jeudi	10
shebab	10
attaque	9
jours	9
deux	8
guerre	6
horrible	6
longue	6
morts	6
samedi	6
attentat	5
étudiants	5
fait	5
massacre	5
autorités	4
contre	4
découverte	4
étudiante	4
islamiste	4
kényan	4
placard	4
président	4
réfugiée	4
retrouvé	4
sanitaires	4
somaliens	4
survivante	4
groupe	3
horreur	3
menace	3
nord	3
promettent	3
somalien	3
allocution	2
attaqué	2
brièvement	2
cerveau	2
comme	2
exprimé	2
identifié	2
kenyatta	2
moins	2
retrouver	2
shebabs	2
silence	2
sorti	2
