name	freq
enlevée	16
française	16
mardi	16
yémen	15
otage	13
isabelle	12
prime	12
yemen	12
enlèvement	10
sanaa	9
ravisseurs	8
après	7
appelle	6
capitale	5
france	5
reçu	5
checkpoint	4
confirmé	4
hollande	4
immédiate	4
jeune	4
libération	4
nouvelles	4
père	4
réclame	4
yéménite	4
accompagnatrice	3
affaires	3
angers	3
ans	3
armés	3
consultante	3
fabius	3
heures	3
hommes	3
humanité	3
identité	3
interceptée	3
matinée	3
ministère	3
originaire	3
peu	3
plus	3
près	3
sait	3
services	3
soir	3
taxi	3
vingt	3
centre	2
