name	freq
israël	13
jérusalem	13
attaques	8
violences	8
arme	7
attaque	7
blanche	7
palestiniens	7
avoir	6
cisjordanie	6
deux	5
israélien	5
nouvelle	5
après	4
forces	4
israéliens	4
journée	4
mardi	4
nouvelles	4
palestinien	4
passants	4
poignarder	4
samedi	4
tenté	4
tués	4
bélier	3
côté	3
couteau	3
depuis	3
flambée	3
israéliennes	3
lieu	3
passé	3
raanana	3
série	3
tabac	3
telaviv	3
vendredi	3
voiture	3
agressé	2
arabes	2
auteur	2
bethléem	2
blessée	2
blessés	2
bus	2
caméra	2
centaines	2
déjà	2
escalade	2
