name	freq
cisjordanie	12
palestiniens	7
violences	7
avoir	6
vendredi	6
gaza	5
israël	5
jérusalem	5
appels	4
après	4
arme	4
attaque	4
aube	4
blanche	4
cible	4
dégradations	4
israélien	4
israéliens	4
joseph	4
journée	4
juifs	4
lieu	4
nouvelles	4
palestinien	4
passants	4
pèlerinage	4
poignarder	4
révolution	4
samedi	4
tenté	4
tombeau	4
tués	4
naplouse	3
nord	3
passé	3
tabac	3
agressé	2
auteur	2
bethléem	2
blessée	2
blessés	2
centaines	2
côté	2
déjà	2
deux	2
flambée	2
forces	2
homme	2
israéliennes	2
juif	2
