name	freq
syrie	17
contre	9
premier	7
frappes	5
ministre	5
parlement	5
bombardements	4
britannique	4
cameron	4
etat	4
mardi	4
moscou	4
russe	4
abattu	3
avion	3
communes	3
france	3
frapper	3
hollande	3
islamique	3
obama	3
obtenir	3
président	3
syrien	3
turquie	3
washington	3
aérien	2
afficher	2
affirmé	2
approuve	2
assemblée	2
autorisation	2
aviation	2
chambre	2
compliquées	2
cours	2
david	2
demande	2
départ	2
depuis	2
députés	2
dès	2
djihadistes	2
entend	2
erdogan	2
escalade	2
espace	2
espère	2
etatsunis	2
éviter	2
