name	freq
ukraine	8
paris	6
russe	6
dirigeants	5
syrie	5
europe	4
gazprom	4
sommet	4
ukrainien	4
allemand	3
discussions	3
français	3
hollande	3
participer	3
poutine	3
président	3
situation	3
vendredi	3
accord	2
accordés	2
accords	2
concessions	2
deux	2
disposés	2
échéance	2
étapes	2
fixer	2
gaz	2
griffes	2
imposée	2
jeltoe	2
kremlin	2
minsk	2
nouvelle	2
ours	2
paix	2
paysclients	2
points	2
prix	2
processus	2
prochaines	2
prorusses	2
rapprocher	2
rentre	2
report	2
réunissaient	2
semblent	2
tentent	2
trouver	2
vendu	2
