name	freq
gunmen	6
resort	6
two	6
island	5
canadians	4
former	4
friends	4
philippine	4
abduct	3
around	3
kidnappers	3
kidnapping	3
planning	3
adventure	2
appeared	2
began	2
better	2
calgarian	2
calgary	2
cruise	2
cruising	2
crystalline	2
entered	2
fate	2
feeling	2
fell	2
getaway	2
group	2
hands	2
help	2
holiday	2
ill	2
indonesia	2
john	2
lands	2
man	2
military	2
oceanview	2
ordeal	2
others	2
philippines	2
ridsdel	2
samal	2
says	2
scuttling	2
specifically	2
spokesman	2
started	2
suddenly	2
targeted	2
