name	freq
war	50
japanese	40
chinese	30
world	26
china	23
victory	22
anniversary	20
aggression	18
resistance	14
japans	12
president	10
japan	9
mark	9
peoples	9
beijing	8
chinas	8
confession	8
parade	8
veterans	8
commemoration	7
will	7
speech	6
according	5
ban	5
chief	5
end	5
people	5
vday	5
criminal	4
full	4
jinping	4
logo	4
military	4
occupation	4
olympic	4
soldiers	4
state	4
surrender	4
text	4
time	4
visit	4
wwii	4
years	4
administration	3
allegation	3
amid	3
antifascist	3
archives	3
attend	3
civilians	3
