name	freq
russia	16
russian	10
china	8
moscow	7
chinese	6
putin	6
cooperation	5
design	4
direction	4
investment	4
permission	4
plane	4
private	4
russias	4
snowden	4
spies	4
taken	4
without	4
alliance	3
anyone	3
blocs	3
building	3
contract	3
economic	3
form	3
global	3
highspeed	3
interests	3
national	3
process	3
projects	3
railway	3
safeguard	3
says	3
two	3
accessed	2
agency	2
allies	2
beijing	2
britain	2
carry	2
chinarussia	2
contractor	2
countries	2
documents	2
edward	2
files	2
financial	2
forced	2
former	2
