name	freq
obama	17
china	16
california	15
shooting	14
cyber	13
state	12
chinese	10
president	9
said	9
security	9
people	8
two	8
barack	7
climate	7
dialogue	7
tuesday	7
united	7
washington	7
wednesday	7
agency	6
bilateral	6
change	6
chinas	6
chinaus	6
crimes	6
fight	6
fighting	6
first	6
house	6
major	6
social	6
agreement	5
attack	5
companies	5
cooperation	5
dead	5
killed	5
monday	5
one	5
plan	5
rampage	5
services	5
states	5
ahead	4
business	4
conference	4
consensus	4
councilor	4
cybercrimes	4
holiday	4
