name	freq
paris	62
attacks	38
french	24
police	21
raid	20
among	13
france	13
mastermind	13
said	13
state	13
terrorist	13
dead	12
killed	11
seven	11
islamic	10
two	10
attack	9
people	9
suicide	9
fridays	8
northern	8
shoot	8
terror	8
bomb	6
brussels	6
capital	6
chemical	6
children	6
custody	6
left	6
reported	6
several	6
suspects	6
train	6
world	6
belgian	5
claimed	5
including	5
lockdown	5
siege	5
syria	5
three	5
wednesday	5
authorities	4
dawn	4
emergency	4
enforcement	4
explosion	4
face	4
father	4
