name	freq
ukraine	16
debaltseve	9
ceasefire	8
truce	8
east	6
eastern	5
european	5
forces	5
peacekeepers	5
pull	5
town	5
ukrainian	5
calls	4
fighting	4
progovernment	4
troops	4
deal	3
killed	3
rebels	3
russia	3
separatists	3
shaky	3
start	3
strategic	3
wednesday	3
began	2
besieged	2
britain	2
calling	2
crisis	2
deadly	2
deployed	2
despite	2
enforce	2
front	2
government	2
holding	2
hours	2
kiev	2
kievs	2
lawmakers	2
line	2
past	2
president	2
prorussian	2
pulling	2
russianbacked	2
save	2
shattered	2
siege	2
