name	freq
argentina	22
crash	17
helicopter	17
french	15
killed	12
reality	10
three	10
show	9
stars	9
two	9
filming	8
helicopters	8
people	8
midair	6
sports	6
collided	5
france	5
including	5
olympians	5
sporting	5
alexis	4
camille	4
killing	4
muffat	4
northern	4
vastine	4
among	3
shows	3
argentine	2
arthaud	2
athletes	2
boxer	2
cast	2
collision	2
florence	2
following	2
footage	2
gold	2
investigation	2
manslaughter	2
medalist	2
mourns	2
olympic	2
open	2
shocked	2
survival	2
swimmer	2
victims	2
video	2
