name	freq
continue	10
reading	10
nisman	9
prosecutor	8
alberto	6
argentina	6
argentinian	5
death	5
argentinas	4
case	4
fernández	4
president	4
says	4
agency	3
bombing	3
community	3
cristina	3
day	3
dead	3
demand	3
dissolve	3
domestic	3
intelligence	3
jewish	3
justice	3
killed	3
kirchner	3
laid	3
last	3
people	3
person	3
present	3
protesters	3
rest	3
ability	2
accuses	2
behaviour	2
bloc	2
cabinet	2
centre	2
chief	2
communist	2
conduct	2
countrys	2
cover	2
credible	2
died	2
diego	2
doubts	2
employee	2
