name	freq
gmt	511
greek	415
greece	337
will	234
reform	224
greeces	211
list	176
government	170
reforms	161
bailout	145
eurozone	143
eurogroup	122
extension	122
dijsselbloem	114
oecd	103
tax	98
last	96
now	96
ministers	95
says	95
economic	92
well	92
measures	91
market	87
time	86
new	85
today	83
plan	75
programme	75
finance	74
meeting	74
public	74
approved	72
athens	70
letter	68
syriza	68
also	65
debt	63
social	63
jdijsselbloem	62
crisis	61
gurria	61
commission	60
morning	59
pension	59
proposals	59
jeroen	58
back	57
commitments	57
chief	56
