name	freq
ukraine	31
ukrainian	17
leaders	15
ceasefire	14
continue	12
minsk	12
reading	12
rebels	10
debaltseve	9
fighting	9
implemented	9
last	9
peace	9
agreed	8
deal	8
related	8
russia	8
will	8
exchange	7
france	7
germany	7
measures	7
putin	7
entirety	6
prisoners	6
prorussia	6
separatists	6
strictly	6
telephone	6
week	6
call	5
continued	5
crumbling	5
despite	5
dozens	5
fourway	5
soldiers	5
attempt	4
continues	4
crisis	4
eastern	4
february	4
fighters	4
forces	4
french	4
new	4
package	4
prorussian	4
sanctions	4
strategic	4
