name	freq
chinese	225
continue	148
reading	148
president	143
china	139
visit	138
jinping	114
will	77
state	76
bst	64
live	54
tax	53
britain	50
cameron	50
first	50
chinas	49
human	45
david	43
credits	42
rights	41
palace	39
new	36
steel	35
british	34
buckingham	34
can	34
said	34
trade	34
day	33
economic	33
london	31
political	31
queen	31
says	30
one	29
cuts	28
government	28
debate	27
time	27
jinpings	26
now	26
speech	25
deal	24
nuclear	24
politics	24
made	23
minister	23
party	23
presidents	23
week	23
