name	freq
cuba	21
trafficking	14
continue	11
reading	11
obama	9
end	8
state	8
guantánamo	7
report	7
afghanistan	6
countries	6
human	6
judge	6
tier	6
bay	5
calls	5
challenge	5
clinton	5
departments	5
detainees	5
malaysia	5
office	5
policy	5
presidential	5
republican	5
said	5
since	5
unlawful	5
according	4
alwarafi	4
among	4
cancer	4
complaint	4
declared	4
democratic	4
diplomatic	4
embargo	4
frontrunner	4
hillary	4
imprisonment	4
iran	4
military	4
muktar	4
najee	4
one	4
persons	4
president	4
related	4
says	4
upgraded	4
