name	freq
continue	20
reading	20
german	14
attack	8
dresden	8
farright	7
pegida	7
angela	6
berlin	6
chancellor	6
charlie	6
germany	6
hebdo	6
people	6
groups	5
merkel	5
paris	5
visit	5
cologne	4
say	4
shows	4
across	3
antiimmigrant	3
cameron	3
condemn	3
europe	3
germans	3
group	3
including	3
latest	3
leaders	3
march	3
merkels	3
minister	3
politicians	3
rallies	3
show	3
streets	3
stuttgart	3
threat	3
two	3
xenophobia	3
antipegida	2
attend	2
blocked	2
chancellors	2
cities	2
claims	2
comments	2
confirms	2
