name	freq
fifa	800
bst	789
will	389
world	255
blatter	250
football	228
zurich	216
greece	214
officials	213
press	195
said	194
president	185
fifas	175
greek	170
says	170
arrested	167
corruption	164
aest	161
today	159
arrests	157
morning	155
now	152
swiss	140
sepp	137
cup	134
election	129
congress	125
conference	123
soccer	116
new	114
one	109
hotel	108
government	106
authorities	98
imf	96
deal	95
statement	95
time	91
also	88
euro	87
webb	86
years	85
international	84
day	81
executive	81
jeffrey	80
creditors	77
due	76
two	76
just	75
