name	freq
aest	378
will	304
indonesian	222
sukumaran	196
execution	180
chan	155
indonesia	155
prisoners	138
time	135
executions	129
death	125
president	125
myuran	116
nine	104
family	102
just	99
andrew	98
bali	97
families	91
said	91
please	89
told	86
says	85
final	84
government	84
today	84
mary	83
clemency	80
jane	80
penalty	80
last	79
men	78
nusa	78
australian	77
widodo	77
hours	76
one	74
veloso	74
tonight	73
two	73
still	72
kambangan	66
philippines	64
take	64
people	63
show	63
dont	61
firing	60
squad	60
say	59
