name	freq
continue	32
reading	32
migrants	26
greece	23
boat	20
migrant	20
mediterranean	19
greek	17
crisis	15
related	14
leaders	13
party	13
dawn	11
golden	11
least	11
trial	11
officials	10
among	9
criminal	9
defendants	9
michaloliakos	9
nikos	9
organisation	9
people	9
will	9
death	8
island	8
running	8
athens	7
attacked	7
chief	7
country	7
european	7
immigrants	7
italy	7
malta	7
opponents	7
bodies	6
deal	6
far	6
farright	6
ministers	6
new	6
one	6
rhodes	6
seen	6
senior	6
summit	6
three	6
toll	6
