name	freq
continue	48
reading	47
india	44
indian	44
debris	28
people	28
réunion	24
flight	23
ocean	23
one	22
malaysian	21
two	21
missing	20
said	20
heavy	18
state	18
found	17
island	17
rains	17
killed	16
plane	16
british	15
minister	14
trains	13
prime	12
river	12
bridge	11
confirms	11
crash	11
madhya	11
pradesh	11
services	11
crossing	10
first	10
flooding	10
france	10
search	10
wing	10
express	9
malaysia	9
minutes	9
monsoon	9
opposite	9
police	9
week	9
wreckage	9
central	8
investigators	8
last	8
mine	8
