name	freq
gmt	206
greece	178
greek	91
meeting	81
european	65
summit	65
will	60
euco	59
leaders	59
last	45
merkel	44
tsipras	43
bailout	42
minister	40
ireland	38
morning	34
prime	34
brussels	33
tonights	32
now	31
says	31
continue	30
reading	30
tonight	30
alexis	29
council	27
crisis	27
england	27
nations	27
said	27
six	27
talks	26
new	25
time	25
another	24
must	24
political	24
angela	23
minisummit	23
told	23
back	22
creditors	22
greeces	22
ahead	21
athens	21
banks	21
high	21
inflation	21
just	21
official	21
