name	freq
assembly	54
general	52
says	51
continue	50
syria	48
reading	47
president	44
iran	41
putin	41
obama	38
syrian	35
world	31
rouhani	30
will	30
russia	29
russian	28
bst	24
barack	22
iranian	22
new	22
isis	21
vladimir	21
airstrikes	20
said	20
state	17
assad	16
groups	16
leaders	16
york	16
war	15
address	14
hassan	14
hollande	14
international	14
people	14
support	14
alassad	13
bashar	13
countries	13
first	13
government	13
minister	13
now	13
irans	12
military	12
live	11
monday	11
states	11
strikes	11
foreign	10
