name	freq
isis	65
reading	48
continue	47
iraq	43
said	42
sinjar	40
attacks	39
syria	35
forces	32
islamic	31
paris	31
jihadi	30
iraqi	29
people	28
emwazi	26
gmt	26
killed	26
kurdish	26
says	26
state	26
live	24
strike	21
one	20
john	19
fighters	18
france	18
will	18
airstrike	17
yazidi	17
french	16
northern	16
town	16
city	15
attack	14
debate	14
europe	14
militants	13
mohammed	13
months	13
peshmerga	13
read	13
war	13
clinton	11
killing	11
pentagon	11
police	11
refugees	11
security	11
targeted	11
antiisis	10
