name	freq
palestinian	68
jerusalem	60
israeli	59
continue	53
attacks	52
reading	51
bus	50
israel	46
violence	43
killed	41
israelis	39
palestinians	36
stabbing	30
attack	25
two	25
said	22
security	22
police	21
shot	21
three	21
bst	20
man	19
city	18
live	17
unrest	17
bank	15
dead	15
east	15
recent	15
west	15
israelpalestine	14
jewish	14
people	14
day	13
will	13
deadly	12
netanyahu	12
palestine	12
stab	12
updates	12
arab	11
calls	11
current	11
election	11
near	11
across	10
amid	10
fire	10
meeting	10
morning	10
