name	freq
knox	85
court	63
sollecito	52
amanda	36
murder	36
said	34
italys	33
raffaele	30
continue	29
reading	29
kercher	27
verdict	27
italian	26
italy	26
meredith	26
lawyer	25
family	24
case	23
conviction	23
convictions	20
decision	19
annulled	18
student	18
judges	17
sollecitos	17
bongiorno	16
british	16
told	16
knoxs	15
years	15
rome	14
will	14
highest	13
trial	13
cassation	12
justice	12
kerchers	12
kirchgaessner	12
seattle	12
stephanie	12
american	11
giulia	11
hours	11
appeals	10
courtroom	10
reports	10
says	10
statement	10
vedova	10
england	9
