name	freq
fifa	321
aest	214
blatter	200
will	161
world	131
football	111
bst	92
cup	92
sepp	89
congress	80
president	76
said	71
ali	69
prince	69
vote	68
election	60
today	55
uefa	51
just	46
corruption	45
zurich	44
fifas	43
now	42
time	41
report	39
one	38
take	38
voting	38
bin	36
going	36
know	35
palestinian	33
can	32
alhussein	31
association	30
presidential	30
also	29
round	29
speech	29
boycott	28
need	28
point	28
press	28
associations	27
blatters	27
game	27
organisation	27
head	26
israel	26
may	26
