name	freq
iran	203
netanyahu	166
deal	138
nuclear	129
speech	129
netanyahus	109
israel	98
prime	80
irans	70
will	69
congress	68
says	65
minister	61
obama	53
president	52
israeli	51
said	51
iranian	43
house	33
press	32
now	31
one	31
can	30
like	29
democrats	28
guardians	28
editor	27
much	27
better	26
short	26
negotiations	25
state	25
time	25
east	24
middle	24
program	23
alternative	22
isis	22
islamic	22
israels	22
many	22
nations	22
people	22
political	22
claim	21
just	21
borger	20
diplomatic	20
guardian	20
jewish	20
