name	freq
migrants	61
boat	38
libya	31
continue	30
reading	30
italian	29
mediterranean	29
libyan	26
fishing	23
related	20
coast	19
drowned	19
europe	18
migrant	18
people	18
rescue	18
capsized	15
men	15
feared	14
many	12
miles	12
italy	11
navy	11
said	11
says	11
sicilian	11
armed	10
believed	10
disaster	10
least	10
port	10
christians	9
crew	9
crisis	9
dead	9
sea	9
just	8
members	8
ministry	8
rescued	8
seized	8
seven	8
survivors	8
two	8
according	7
bodies	7
coastguard	7
hundreds	7
operation	7
option	7
