name	freq
tax	26
deals	14
european	13
investigation	13
mcdonalds	13
luxembourg	12
sweetheart	10
commission	9
fast	8
food	8
aid	7
state	7
suspected	7
brussels	6
continue	6
reading	6
confirms	5
major	5
year	5
chain	4
formal	4
inquiry	4
launches	4
opened	4
rulings	4
affairs	3
ago	3
believes	3
business	3
duchy	3
europes	3
examining	3
gave	3
grand	3
granted	3
group	3
headquarters	3
largest	3
london	3
report	3
shifted	3
six	3
two	3
unlawful	3
years	3
already	2
arrangements	2
attracting	2
coalition	2
considerable	2
