name	freq
pakistan	24
continue	13
reading	13
people	12
killed	9
taliban	9
two	8
country	7
explosions	7
lahore	7
least	7
church	6
karzai	6
suicide	6
near	5
ten	5
afghanistan	4
afghanistans	4
ashraf	4
bombers	4
brokering	4
city	4
deal	4
drone	4
former	4
guardian	4
hamid	4
injured	4
international	4
national	4
neighbouring	4
peace	4
president	4
raid	4
towards	4
achievement	3
anger	3
attacks	3
churches	3
combat	3
convicted	3
eastern	3
execute	3
faction	3
government	3
great	3
hussain	3
killing	3
man	3
move	3
