name	freq
palestinian	91
israeli	79
violence	78
israel	57
continue	54
reading	49
gaza	48
palestinians	45
shot	40
killed	37
jerusalem	35
bank	32
west	32
dead	30
attacks	27
clashes	26
police	26
city	25
hamas	25
stabbed	24
two	24
israelis	23
jewish	23
said	23
intifada	21
old	21
forces	20
week	20
woman	20
bst	18
four	17
security	17
territories	17
yearold	15
escalating	14
latest	14
live	14
new	14
says	14
five	13
military	13
people	13
wounded	13
continues	12
escalation	12
fears	12
netanyahu	12
prime	12
amid	11
binyamin	11
