name	freq
russian	141
plane	90
continue	83
crash	76
reading	75
sinai	64
board	37
crashed	35
russia	35
said	35
elsheikh	30
sharm	30
egypt	28
passengers	28
egyptian	27
peninsula	26
state	26
will	26
people	22
cause	21
children	19
officials	19
flight	18
gmt	18
airliner	17
egypts	17
petersburg	17
talks	17
aviation	16
claim	16
latest	16
syria	16
air	15
says	15
died	14
islamic	14
inside	13
investigators	13
iran	13
isis	13
one	13
president	13
saturday	13
say	13
airbus	12
carrying	12
group	12
news	12
aircraft	11
crew	11
