name	freq
refugee	26
nauru	24
somali	17
australia	14
abortion	12
continue	11
reading	11
police	10
pregnant	10
raped	10
woman	10
back	9
rape	9
alleged	8
government	7
citing	6
evidence	6
flown	6
lack	6
sent	6
without	6
brought	5
case	5
changed	5
close	5
country	5
mind	5
procedure	5
says	5
yearold	5
documents	4
minister	4
related	4
report	4
reportedly	4
result	4
said	4
secretly	4
termination	4
weeks	4
advocates	3
flies	3
hearing	3
injunction	3
island	3
lawyer	3
pregnancy	3
refused	3
release	3
rights	3
