name	freq
syria	68
continue	50
reading	49
children	44
syrian	32
three	32
sisters	30
police	29
bradford	27
islamic	27
said	25
nine	24
isis	21
dawood	20
women	20
family	18
missing	18
state	18
two	17
border	16
group	16
refugees	16
believed	15
iraq	15
one	15
yorkshire	15
chlorine	14
war	13
west	13
feared	12
turkey	12
fighting	11
husbands	11
says	11
fighters	10
kurdish	10
made	10
medical	10
saudi	10
travel	10
world	10
abyad	9
arabia	9
city	9
communities	9
military	9
return	9
say	9
travelled	9
global	8
