name	freq
fifa	553
bst	462
officials	183
zurich	180
press	173
will	164
arrested	156
world	155
football	146
arrests	145
fifas	139
corruption	127
president	124
swiss	118
says	116
conference	113
blatter	112
soccer	110
hotel	108
said	101
authorities	96
now	95
webb	85
statement	83
jeffrey	79
sepp	79
today	79
new	72
among	70
concacaf	69
morning	68
bribes	66
one	66
six	66
congress	65
cup	65
justice	65
executive	64
day	61
investigation	61
years	57
committee	54
election	54
gregorio	54
lac	54
office	54
charges	53
police	53
good	52
york	51
