name	freq
tunisia	10
continue	6
court	6
reading	6
city	5
activists	4
attack	4
homosexuality	4
men	4
prison	4
rights	4
six	4
students	4
years	4
bouazizi	3
capital	3
citizens	3
must	3
stories	3
threat	3
tunisian	3
week	3
abandoned	2
acquired	2
anger	2
arab	2
article	2
avoid	2
banished	2
best	2
boutheina	2
charges	2
code	2
condemned	2
controversial	2
corruption	2
criminal	2
criminalises	2
emergency	2
fire	2
five	2
given	2
group	2
handed	2
housing	2
human	2
including	2
jails	2
judgment	2
kairouan	2
