name	freq
gmt	318
continue	252
reading	250
said	198
germanwings	158
crash	138
plane	120
flight	109
says	108
cockpit	100
french	92
will	78
knox	76
two	76
copilot	70
new	68
people	67
court	64
reports	64
victims	64
one	63
pilots	62
german	60
lubitz	56
pilot	54
board	53
news	53
first	52
site	51
told	51
aest	50
air	50
can	50
crashed	49
families	48
family	48
confirmed	46
last	46
passengers	46
emergency	45
alps	44
video	44
press	42
sollecito	42
aviation	41
information	41
call	40
minutes	40
president	40
lufthansa	39
