name	freq
pope	74
francis	61
continue	35
reading	35
first	33
africa	31
people	31
climate	28
visit	28
tour	27
african	22
pontiff	20
uganda	20
day	17
kenya	17
paris	17
peace	17
mass	16
central	13
capital	12
change	12
march	12
republic	12
trip	12
dialogue	11
leaders	10
reconciliation	10
security	10
vatican	10
war	10
religious	9
thousands	9
will	9
global	8
openair	8
says	8
threenation	8
arrived	7
attacks	7
christians	7
colonialism	7
conflictridden	7
continent	7
hostile	7
might	7
muslims	7
nairobi	7
nairobis	7
new	7
part	7
