name	freq
south	28
house	25
pistorius	21
continue	20
oscar	20
reading	20
african	18
students	16
reeva	15
released	15
sentence	15
arrest	14
steenkamp	14
fees	13
prison	13
family	12
pretoria	12
drowned	11
uncles	11
africa	10
northern	10
found	9
outside	9
bay	8
couple	8
john	8
lynette	8
paralympian	8
plettenberg	8
rodgers	8
fiveyear	7
girlfriend	7
monday	7
proposed	7
protest	7
release	7
said	7
tuition	7
university	7
want	7
will	7
year	7
beach	6
culpable	6
friday	6
homicide	6
irish	6
national	6
one	6
pistoriuss	6
