name	freq
alps	61
french	60
germanwings	40
crash	34
german	34
board	31
crashed	29
killing	28
plane	27
said	22
airbus	21
copilot	20
people	20
tuesday	17
airliner	16
cockpit	15
worst	15
clues	13
dead	13
wednesday	13
investigators	12
pilot	12
will	12
aboard	11
black	11
box	11
crashes	11
france	11
aviation	10
disaster	10
feared	10
left	10
lufthansa	10
near	10
decades	9
years	9
alpine	8
depression	8
remote	8
resort	8
ski	8
suffered	8
daily	7
deliberately	7
door	7
bild	6
descent	6
disasters	6
found	6
frances	6
