name	freq
nepal	22
areas	16
work	16
foreign	15
earthquake	14
nepals	12
workers	11
local	10
quake	9
rescue	9
aid	7
capital	7
kathmandu	7
monday	7
return	7
home	6
remote	6
rescuers	6
army	5
asnbsp	5
can	5
completed	5
devastating	5
government	5
handled	5
however	5
last	5
major	5
mountain	5
operations	5
police	5
quakehit	5
remained	5
remaining	5
saidnbsp	5
surrounding	5
urged	5
victims	5
villages	5
volunteers	5
asks	4
avalanches	4
despite	4
everest	4
finding	4
months	4
mourning	4
period	4
teams	4
department	3
