name	freq
china	25
chinese	17
port	14
said	14
explosions	13
tianjin	13
blasts	11
people	10
media	8
death	7
injured	7
killed	7
least	7
officials	7
toll	7
two	7
firefighters	6
huge	6
missing	6
warehouse	6
city	5
massive	5
state	5
authorities	4
dead	4
even	4
government	4
hundreds	4
japan	4
military	4
accident	3
accounts	3
area	3
blast	3
blaze	3
chemical	3
chinas	3
coal	3
cyanide	3
dangerous	3
days	3
experts	3
explosion	3
industrial	3
local	3
malaysia	3
mining	3
northeastern	3
reported	3
saturday	3
