name	freq
paris	186
attacks	115
first	103
appeared	102
times	102
post	101
japan	100
islamic	74
state	73
french	65
said	55
police	51
attack	41
killed	35
security	32
syrian	32
syria	31
france	29
people	28
found	27
two	26
suspected	25
mastermind	24
refugees	24
last	23
raid	23
video	21
brussels	19
group	19
new	19
capital	18
refugee	18
jihadis	17
climate	16
obama	16
passport	16
prime	16
suicide	16
terror	16
terrorist	16
attackers	15
body	15
friday	15
leaders	15
wednesday	15
world	15
alert	14
following	14
minister	14
near	14
