name	freq
libya	19
migrant	16
first	13
appeared	12
japan	12
post	12
times	12
crisis	8
european	8
italy	8
people	8
italian	7
leaders	7
state	7
boat	6
christians	6
hundreds	6
islamic	6
migrants	6
two	6
video	6
calls	5
ethiopian	5
mediterranean	5
prosecutors	5
smugglers	5
tragedy	5
bangladeshi	4
benghazi	4
capsized	4
clinton	4
continued	4
death	4
disaster	4
escalating	4
face	4
libyas	4
may	4
monday	4
renzi	4
response	4
struggle	4
sunday	4
targeted	4
voyages	4
abuse	3
boats	3
coast	3
commission	3
crossing	3
