name	freq
first	80
appeared	67
japan	66
times	66
post	65
said	39
trump	33
california	30
united	25
republican	23
states	23
ban	21
muslims	21
police	21
state	21
trumps	21
attack	17
muslim	17
donald	16
islamic	16
monday	16
presidential	16
says	16
radicalized	15
two	15
new	14
american	13
comments	12
entering	12
one	12
fbi	11
group	11
killers	11
obama	11
thursday	11
told	11
wednesday	11
years	11
calls	10
israel	10
called	9
frontrunner	9
president	9
senate	9
sunday	9
call	8
last	8
made	8
missile	8
party	8
