name	freq
said	165
paris	155
attacks	129
police	99
people	84
state	75
islamic	65
french	64
killed	62
syria	49
attack	44
last	42
security	41
abaaoud	40
france	39
apartment	35
fridays	35
raid	34
threat	33
capital	30
video	30
woman	30
mastermind	29
new	29
two	29
area	28
suspected	28
will	27
militants	26
one	26
air	25
belgian	25
believed	25
brussels	25
minister	25
three	25
hotel	24
islamist	24
officials	24
several	24
authorities	23
claimed	23
group	23
least	23
siege	23
suburb	23
suicide	23
terrorist	23
told	23
man	22
